,year,caseID,gender,socialClassSelf,interestElections,wealthPrcnt,partyID,yrsEdu,voteHouseParty,approveOfConservatives,approveOfLiberals,approveOfBusiness,approveOfUnions,approveOfCongress,approveOfMiddleClass,approveOfIllegalAliens,votedForCong,isRepublican,isDemocrat
55132,2012,6322,M,2,2,75,-1,16,1,50,30,60,40,30,65,40,1,0,1
55133,2012,6323,F,5,2,28,-1,12,0,30,60,60,15,0,85,40,1,0,1
55134,2012,6324,M,5,1,98,-2,16,0,50,70,35,35,15,80,30,1,0,1
55135,2012,6325,F,2,2,50,3,16,,97,0,15,60,0,97,0,0,1,0
55136,2012,6326,M,1,2,50,3,14,,85,0,40,10,20,85,20,0,1,0
55137,2012,6327,F,4,2,,-3,16,,15,85,40,50,,85,35,0,0,1
55138,2012,6328,F,2,2,50,1,12,,70,50,50,50,50,50,50,0,1,0
55139,2012,6329,M,5,1,75,3,14,1,75,30,30,30,15,60,10,1,1,0
55140,2012,6330,M,1,2,50,-1,12,0,50,50,50,70,85,50,65,1,0,1
55141,2012,6331,F,1,2,50,1,16,,95,0,90,50,10,50,0,0,1,0
55142,2012,6332,M,1,2,75,3,14,1,80,0,90,0,25,80,10,1,1,0
55143,2012,6333,F,2,2,8,-3,14,,,,,,,,,0,0,1
55144,2012,6334,F,5,2,75,0,14,0,35,45,40,50,35,75,40,1,0,0
55145,2012,6335,M,6,2,98,1,16,1,50,15,50,0,30,50,30,1,1,0
55146,2012,6336,F,3,2,50,2,14,1,70,5,50,20,10,75,5,1,1,0
55147,2012,6337,F,2,1,50,-1,14,1,50,60,50,60,50,60,15,1,0,1
55148,2012,6338,M,5,1,50,-2,14,1,60,60,60,60,60,70,30,1,0,1
55149,2012,6339,F,5,2,50,-3,16,0,15,97,0,97,0,85,97,1,0,1
55150,2012,6340,F,5,2,8,-2,12,0,50,50,50,50,50,50,0,1,0,1
55151,2012,6341,F,5,2,75,2,12,,,,,,,,,0,1,0
55152,2012,6342,F,1,2,28,0,14,1,85,0,15,50,30,50,70,1,0,0
55153,2012,6343,F,5,2,50,-3,12,0,40,70,30,70,60,97,0,1,0,1
55154,2012,6344,M,2,2,50,-3,14,0,60,50,15,97,30,70,50,1,0,1
55155,2012,6345,M,5,2,75,2,16,1,70,15,55,30,15,60,0,1,1,0
55156,2012,6346,M,2,1,28,-1,10,,30,15,70,30,30,50,70,0,0,1
55157,2012,6347,M,2,1,8,0,12,,50,15,15,40,85,70,75,0,0,0
55158,2012,6348,F,1,1,28,-3,12,,,,,,,,,0,0,1
55159,2012,6349,F,5,2,75,3,16,,85,0,85,15,15,97,30,0,1,0
55160,2012,6350,M,1,1,8,0,14,,50,40,75,50,50,50,0,0,0,0
55161,2012,6351,M,1,2,50,-2,12,,50,50,40,40,30,60,40,0,0,1
55162,2012,6352,F,2,2,8,-3,16,0,15,85,30,70,50,97,60,1,0,1
55163,2012,6353,M,5,2,75,3,16,1,90,15,80,0,60,90,70,1,1,0
55164,2012,6354,F,2,1,50,2,,1,70,15,85,40,40,50,15,1,1,0
