,districtFull,medianIncome,meanIncome,over75,over200,l150h200,under50,under40,under25,prcntCollege,prcntWhite,prcntBlack,prcntAsian,prcntLat,industry,rural,urbanLoose,urbanStrict,urbanAll,district,state,distNum,handle,party,policy,homestyle,other,prcntHome,prcntPolicy,prcntHomeOther
248,"Congressional District 4 (113th Congress), Indiana",49187,62729,29.7,2.2,3.2,50.8,35.3,23.5,23.3,92.9,4,2.7,5.4,1.9,0.363490511,0.469803597,0.166705892,0.636509489,IN-04,IN,4,toddrokita,R,2115,1102,2,0.342342342,0.657036347,0.342555176
249,"Congressional District 4 (113th Congress), Iowa",47157,60178,26.7,2.2,2.5,52.6,37,25.3,21.5,94.4,1.9,1.9,5.9,7,0.490666241,0.169395607,0.339938152,0.509333759,IA-04,IA,4,stevekingia,R,558,265,4,0.320435308,0.674727932,0.32199271
250,"Congressional District 4 (113th Congress), Iowa",47157,60178,26.7,2.2,2.5,52.6,37,25.3,21.5,94.4,1.9,1.9,5.9,7,0.490666241,0.169395607,0.339938152,0.509333759,IA-04,IA,4,tomlatham,R,680,441,1,0.393048128,0.606060606,0.393398751
251,"Congressional District 4 (113th Congress), Kansas",47921,62150,28.7,2.4,2.7,52,36.4,24.4,26.7,86.2,8.3,3.7,11.2,2.4,0.206797477,0.656612702,0.136589821,0.793202523,KS-04,KS,4,repmikepompeo,R,1294,587,8,0.310746427,0.685018528,0.312068049
252,"Congressional District 4 (113th Congress), Kentucky",52906,68475,33.3,3.4,4.2,47.5,33.5,23.3,25.2,94,4.3,1.3,2.9,1.4,0.322212252,0.611137416,0.066650332,0.677787748,KY-04,KY,4,repthomasmassie,R,710,517,9,0.41828479,0.574433657,0.421352893
253,"Congressional District 4 (113th Congress), Louisiana",40960,57292,25.4,2.4,2.8,57.8,44.3,32.3,18.9,63,34.9,1.3,3.4,5.8,0.431193181,0.387694274,0.181112545,0.568806819,LA-04,LA,4,repfleming,R,829,225,3,0.212866604,0.784295175,0.213472486
254,"Congressional District 4 (113th Congress), Maryland",72629,89837,48.3,6.6,8.1,31.5,19.4,12,30.7,34.3,55.1,3.9,14.9,0.2,0.013976754,0.986023246,0,0.986023246,MD-04,MD,4,repdonnaedwards,D,1535,938,12,0.377464789,0.617706237,0.379296401
255,"Congressional District 4 (113th Congress), Massachusetts",81044,114915,53.2,13.6,9.8,31.7,22.4,16.2,48.6,90.1,3.1,6.5,4.1,0.2,0.061737245,0.938262755,0,0.938262755,MA-04,MA,4,repjoekennedy,D,358,513,6,0.584948689,0.408209806,0.588978186
256,"Congressional District 4 (113th Congress), Michigan",42735,56425,24,1.8,2.5,56.9,40.7,28.3,19.4,95.8,2.5,1.3,2.8,2.9,0.672413145,0.127588592,0.199998264,0.327586855,MI-04,MI,4,repdavecamp,R,1289,345,3,0.210751374,0.787416005,0.211138311
257,"Congressional District 4 (113th Congress), Minnesota",59554,77899,39.2,5.2,5.5,42.7,30,20.6,40.3,77.6,11.1,11.5,6.3,0.6,0.02442758,0.970554043,0.005018377,0.97557242,MN-04,MN,4,bettymccollum04,D,1363,816,4,0.373797526,0.624370133,0.374483708
258,"Congressional District 4 (113th Congress), Mississippi",40462,55092,23.1,1.9,2.8,59,44.5,32.5,19.6,74.3,24,1.8,3.8,3.2,0.424896717,0.479274269,0.095829014,0.575103283,MS-04,MS,4,congpalazzo,R,601,427,9,0.411764706,0.579556413,0.41536965
259,"Congressional District 4 (113th Congress), Missouri",43481,56546,24.6,1.7,2.4,56.1,40.4,28.3,23.9,92.3,5.7,1.9,3.4,2.9,0.529100234,0.215733649,0.255166117,0.470899766,MO-04,MO,4,rephartzler,R,1375,962,8,0.410234542,0.586353945,0.411638853
260,"Congressional District 4 (113th Congress), Nevada",51779,65612,31.6,2.8,3.8,48,33.1,21.8,18.7,68.7,16.4,6.9,27.5,1.4,0.08510164,0.806527054,0.108371306,0.91489836,NV-04,NV,4,rephorsford,D,560,506,3,0.47333957,0.523854069,0.47467167
261,"Congressional District 4 (113th Congress), New York",90503,112856,57.9,13.2,11.1,27.7,18.4,12.3,38.6,70.7,15.6,6.7,18.5,0.2,0.000377091,0.999622909,0,0.999622909,NY-04,NY,4,carolynmccarthy,D,142,86,2,0.373913043,0.617391304,0.377192982
262,"Congressional District 4 (113th Congress), North Carolina",47612,66608,29.9,4.1,4,51.9,37.4,25.3,40.3,57.5,34,6,11.6,0.4,0.097016132,0.889466323,0.013517546,0.902983868,NC-04,NC,4,repdavideprice,D,940,547,3,0.367114094,0.630872483,0.367854741
263,"Congressional District 4 (113th Congress), Ohio",45990,57648,25.9,1.5,2.5,53.8,37.6,25.3,15.8,93,6.6,1.1,3.3,1.8,0.354523561,0.23805088,0.407425559,0.645476439,OH-04,OH,4,jim_jordan,R,557,240,5,0.29925187,0.694513716,0.301129235
264,"Congressional District 4 (113th Congress), Oklahoma",48244,61437,28.5,2.1,3.1,51.7,36.3,24.6,23.4,84,8.2,2.9,7.7,4.6,0.332492645,0.498936347,0.168571008,0.667507355,OK-04,OK,4,tomcoleok04,R,211,112,0,0.346749226,0.653250774,0.346749226
265,"Congressional District 4 (113th Congress), Oregon",41027,54334,23.4,1.6,2.3,58.9,43,30.8,24.5,93.6,1.3,3.2,6.9,3.8,0.289687604,0.452211131,0.258101265,0.710312396,OR-04,OR,4,reppeterdefazio,D,264,109,1,0.29144385,0.705882353,0.292225201
266,"Congressional District 4 (113th Congress), Pennsylvania",56320,69995,35.4,2.9,4.3,44.1,29.8,19.7,24.4,87.7,9,2.3,6.2,1.2,0.228982428,0.72052127,0.050496302,0.771017572,PA-04,PA,4,repscottperry,R,493,386,5,0.436651584,0.557692308,0.439135381
267,"Congressional District 4 (113th Congress), South Carolina",45503,62906,28.6,2.9,3.6,53.8,39.3,28,28,76.4,20.4,2.6,7.3,0.5,0.147907588,0.840582581,0.011509831,0.852092412,SC-04,SC,4,tgowdysc,R,701,319,4,0.311523438,0.684570313,0.312745098
268,"Congressional District 4 (113th Congress), Tennessee",43789,56824,25.4,1.8,2.5,56.2,40.3,28.1,19.8,88.9,8.9,1.8,5.5,1.5,0.450116523,0.368382932,0.181500545,0.549883477,TN-04,TN,4,desjarlaistn04,R,1335,599,7,0.308603812,0.687789799,0.309720786
269,"Congressional District 4 (113th Congress), Utah",59527,70283,35.4,2.5,3.8,40.6,26.4,17.2,26.8,89.3,2,3.3,16.3,1.2,0.043960291,0.928103667,0.027936042,0.956039709,UT-04,UT,4,repjimmatheson,D,559,583,2,0.509615385,0.488636364,0.510507881
270,"Congressional District 4 (113th Congress), Virginia",61755,75055,40.4,3.4,5.3,40.3,26.8,17.2,24.4,64,33.3,2.8,4.9,1.1,0.264722334,0.685313116,0.04996455,0.735277666,VA-04,VA,4,randy_forbes,R,1735,1078,12,0.38159292,0.614159292,0.383220761
271,"Congressional District 4 (113th Congress), Washington",48820,62934,30,2.3,3.6,51,36.3,24.9,19.4,76.9,1.7,2.2,36.6,13.4,0.291590815,0.522877959,0.185531226,0.708409185,WA-04,WA,4,dochastings,R,534,192,3,0.263374486,0.732510288,0.26446281
272,"Congressional District 4 (113th Congress), Wisconsin",37224,51905,21.6,1.8,2.3,61.6,47.2,34.9,25.7,55.9,36.3,3.9,15.9,0.5,0,1,0,1,WI-04,WI,4,repgwenmoore,D,1829,992,11,0.350282486,0.645833333,0.351648352
